priority_tier,total_score,volume_score,pipeline_need_score,ci_need_score,technology_gap_score,market_access_score,epm,plant_name,owner,city,state,status,capacity_mgy,capacity_mgy_used_for_scoring,estimated_fermentation_co2_mt_per_year,latest_available_ci_scores,pipeline_ccs_status,ccs_committed_flag,technology_flags,nearest_market,nearest_market_miles,market_access_note,rationale,tier_reason
Medium,69.0,16,12,10.0,16,15,3588,CHS - Annawan,CHS,Annawan,IL,Active,130.0,130.0,377000,,Possible future pipeline optionality,False,White Fox,Quad Cities,34.2,very near major urban/industrial market,"130.0 MGY implies roughly 377,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: White Fox. Nearest listed market is Quad Cities at about 34 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,69.0,12,12,17.0,13,15,3668,Poet Biorefining-Cloverdale,POET Biorefining,Cloverdale,IN,Active,88.0,88.0,255200,CA/latest 71.08; corn 71.08; fiber 31.05,Possible future pipeline optionality,False,fiber/D3,Indianapolis,38.1,very near major urban/industrial market,"88.0 MGY implies roughly 255,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 17.0/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Indianapolis at about 38 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,69.0,12,12,10.0,20,15,3646,Marysville Ethanol LLC,DCP Midstream,Marysville,MI,Active,60.0,60.0,174000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Detroit / Toledo,47.4,very near major urban/industrial market,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Detroit / Toledo at about 47 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,69.0,12,12,10.0,20,15,3734,Verbio,Verbio,Nevada,IA,Active,60.0,60.0,174000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Des Moines / Ames,30.7,very near major urban/industrial market,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Des Moines / Ames at about 31 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,68.0,12,12,15.0,20,9,3612,Green America Biofuels Ord LLC,GreenAmerica,Ord,NE,Active,68.0,68.0,197200,CA/latest 70.16; corn 70.16,Possible future pipeline optionality,False,limited public low-carbon tech flags,Sioux City,139.5,reasonable regional market access,"68.0 MGY implies roughly 197,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 15.0/20 based on available corn/latest CI percentile. Technology screen: limited public low-carbon tech flags. Nearest listed market is Sioux City at about 140 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,66.0,16,12,10.0,16,12,3712,The Andersons Marathon Holdings LLC,The Andersons,Albion,MI,Active,147.0,147.0,426300,,Possible future pipeline optionality,False,CHP,Detroit / Toledo,89.3,near major urban/industrial market,"147.0 MGY implies roughly 426,300 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: CHP. Nearest listed market is Detroit / Toledo at about 89 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,66.0,16,12,10.0,16,12,3618,Poet Biorefining-Obion LLC,POET Biorefining,Rives,TN,Active,135.0,135.0,391500,,Possible future pipeline optionality,False,"high protein, corn oil",Memphis,93.2,near major urban/industrial market,"135.0 MGY implies roughly 391,500 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: high protein, corn oil. Nearest listed market is Memphis at about 93 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,66.0,12,12,10.0,20,12,3553,Alto ICP LLC,Alto,Pekin,IL,Active,82.0,82.0,237800,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Quad Cities,79.2,near major urban/industrial market,"82.0 MGY implies roughly 237,800 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Quad Cities at about 79 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,66.0,12,12,10.0,20,12,3572,Biourja Renewables LLC,BioUrja,Peoria,IL,Active,61.0,61.0,176900,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Quad Cities,74.3,near major urban/industrial market,"61.0 MGY implies roughly 176,900 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Quad Cities at about 74 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,65.0,8,12,10.0,20,15,3647,MGP,MGP,Lawrenceburg,IN,Active,50.0,50.0,145000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Cincinnati,18.7,very near major urban/industrial market,"50.0 MGY implies roughly 145,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Cincinnati at about 19 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,64.3,12,25,10.3,8,9,3677,Poet Biorefinning-Hanlontown LLC,POET Biorefining,Hanlontown,IA,Active,80.0,80.0,232000,CA/latest 67.07; corn 67.07; fiber 27.88,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP, corn oil",Minneapolis / St. Paul,116.7,reasonable regional market access,"80.0 MGY implies roughly 232,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 10.3/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP, corn oil. Nearest listed market is Minneapolis / St. Paul at about 117 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,64.2,16,25,2.2,9,12,3633,Husker Ag LLC,Husker Ag,Plainview,NE,Active,109.0,109.0,316100,CA/latest 63.99; corn 63.99; fiber 25.83; WA min 26.40,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP",Sioux City,67.2,near major urban/industrial market,"109.0 MGY implies roughly 316,100 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 2.2/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Sioux City at about 67 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,64.0,12,25,10.0,5,12,3659,Pine Lake Corn Processors,Innovative Ag Services,Steamboat Rock,IA,Active,87.12,87.12,252648,,No clear public pipeline/CCS access in available data,False,"White Fox, CHP, waste heat, corn oil",Des Moines / Ames,66.9,near major urban/industrial market,"87.1 MGY implies roughly 252,648 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position is unclear in available LCFS data. Technology screen: White Fox, CHP, waste heat, corn oil. Nearest listed market is Des Moines / Ames at about 67 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,64.0,12,12,10.0,15,15,3609,Grain Processing Corp,Grain Processing Corp,Muscatine,IA,Active,82.5,82.5,239250,,Possible future pipeline optionality,False,"White Fox, corn oil",Quad Cities,29.3,very near major urban/industrial market,"82.5 MGY implies roughly 239,250 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: White Fox, corn oil. Nearest listed market is Quad Cities at about 29 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,63.9,20,12,12.9,13,6,3626,Hankinson Renewable Energy LLC,"Guardian Energy, LLC",Hankinson,ND,Active,157.4,157.4,456460,CA/latest 68.88; corn 68.88; fiber 26.00; WA min 23.53,Possible future pipeline optionality,False,fiber/D3,Minneapolis / St. Paul,190.9,moderate market access,"157.4 MGY implies roughly 456,460 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 12.9/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 191 miles (moderate market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,63.4,16,25,1.4,9,12,3667,Poet Biorefining- Chancellor LLC,POET Biorefining,Chancellor,SD,Active,125.0,125.0,362500,CA/latest 62.63; corn 62.63; fiber 23.48; WA min 21.54,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP",Sioux City,66.6,near major urban/industrial market,"125.0 MGY implies roughly 362,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 1.4/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Sioux City at about 67 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,63.0,16,12,10.0,16,9,3617,Green Plains Mount Vernon LLC,Green Plains,Mount Vernon,IN,Active,135.0,135.0,391500,,Possible future pipeline optionality,False,"high protein, corn oil",Louisville,109.6,reasonable regional market access,"135.0 MGY implies roughly 391,500 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: high protein, corn oil. Nearest listed market is Louisville at about 110 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,63.0,12,12,10.0,20,9,3627,Guardian Lima LLC,"Guardian Energy, LLC",Lima,OH,Active,84.0,84.0,243600,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Cincinnati,113.1,reasonable regional market access,"84.0 MGY implies roughly 243,600 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Cincinnati at about 113 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.1,12,25,5.1,8,12,3663,Poet Biorefinning-Ashton LLC,POET Biorefining,Ashton,IA,Active,68.0,68.0,197200,CA/latest 65.00; corn 65.00; fiber 25.42,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP, corn oil",Sioux City,61.8,near major urban/industrial market,"68.0 MGY implies roughly 197,200 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 5.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP, corn oil. Nearest listed market is Sioux City at about 62 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,12,12,10.0,16,12,3548,Adkins Energy LLC,Pearl City Elevator,Lena,IL,Active,60.0,60.0,174000,,Possible future pipeline optionality,False,CHP,Quad Cities,69.3,near major urban/industrial market,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: CHP. Nearest listed market is Quad Cities at about 69 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,12,12,10.0,16,12,3656,Innergex Renewable Energy Inc.,Innergex Renewable Energy Inc.,Stockton,CA,Active,60.0,60.0,174000,,Possible future pipeline optionality,False,White Fox,San Francisco Bay Area,60.1,near major urban/industrial market,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: White Fox. Nearest listed market is San Francisco Bay Area at about 60 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,8,12,10.0,20,12,3583,Central Indiana Ethanol,Central Indiana Ethanol,Marion,IN,Active,50.0,50.0,145000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Indianapolis,59.5,near major urban/industrial market,"50.0 MGY implies roughly 145,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Indianapolis at about 60 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,8,12,10.0,20,12,3598,East Kansas Agri-Energy LLC,East Kansas Agri-Energy,Garnett,KS,Active,48.0,48.0,139200,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Kansas City,67.4,near major urban/industrial market,"48.0 MGY implies roughly 139,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Kansas City at about 67 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,8,12,10.0,20,12,3624,Greenfield Global Corn Plus LLC,Greenfield Global,Winnebago,MN,Active,43.0,43.0,124700,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Minneapolis / St. Paul,94.8,near major urban/industrial market,"43.0 MGY implies roughly 124,700 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Minneapolis / St. Paul at about 95 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,62.0,8,12,10.0,20,12,3610,Grain Processing Corp,Grain Processing Corp,Washington,IN,Active,36.72,36.72,106488,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Louisville,83.6,near major urban/industrial market,"36.7 MGY implies roughly 106,488 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Louisville at about 84 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,61.0,16,12,10.0,20,3,3657,Pennsylvania Grain Processing LLC,Pennsylvania Grain Processing,Clearfield,PA,Active,128.0,128.0,371200,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Detroit / Toledo,254.5,distant but possible market access,"128.0 MGY implies roughly 371,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Detroit / Toledo at about 255 miles (distant but possible market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,61.0,12,12,10.0,15,12,3581,Cargill Inc,Cargill,Eddyville,IA,Active,71.0,71.0,205900,,Possible future pipeline optionality,False,"CHP, corn oil",Des Moines / Ames,51.3,near major urban/industrial market,"71.0 MGY implies roughly 205,900 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: CHP, corn oil. Nearest listed market is Des Moines / Ames at about 51 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,60.8,12,25,3.8,8,12,3675,Poet Biorefinning-Gowrie LLC,POET Biorefining,Gowrie,IA,Active,90.0,90.0,261000,CA/latest 64.56; corn 64.56; fiber 24.96,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP, corn oil",Des Moines / Ames,61.4,near major urban/industrial market,"90.0 MGY implies roughly 261,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 3.8/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP, corn oil. Nearest listed market is Des Moines / Ames at about 61 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,60.7,20,12,10.7,9,9,3685,Poet Biorefining-Marion,POET Biorefining,Marion,OH,Active,162.0,162.0,469800,CA/latest 67.27; corn 67.27; fiber 27.76,Possible future pipeline optionality,False,"fiber/D3, CHP",Detroit / Toledo,118.5,reasonable regional market access,"162.0 MGY implies roughly 469,800 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 10.7/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Detroit / Toledo at about 118 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,60.0,16,12,10.0,16,6,3710,Tate & Lyle,Tate & Lyle,Loudon,TN,Active,110.0,110.0,319000,,Possible future pipeline optionality,False,CHP,Louisville,191.2,moderate market access,"110.0 MGY implies roughly 319,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: CHP. Nearest listed market is Louisville at about 191 miles (moderate market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.6,12,25,1.6,9,12,3681,Poet Biorefining-Laddonia LLC,POET Biorefining,Laddonia,MO,Active,80.0,80.0,232000,CA/latest 63.53; corn 63.53; fiber 24.02,No clear public pipeline/CCS access in available data,False,"fiber/D3, CHP",St. Louis / Metro East,88.6,near major urban/industrial market,"80.0 MGY implies roughly 232,000 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 1.6/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is St. Louis / Metro East at about 89 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.5,8,12,14.5,13,12,3674,Poet Biorefining--Glenville LLC,POET Biorefining,Albert Lea,MN,Active,48.0,48.0,139200,CA/latest 70.00; corn 70.00; fiber 30.39,Possible future pipeline optionality,False,fiber/D3,Minneapolis / St. Paul,96.9,near major urban/industrial market,"48.0 MGY implies roughly 139,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 14.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Minneapolis / St. Paul at about 97 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.1,16,12,14.1,5,12,3597,E Energy Adams LLC,"E Energy Adams, LLC",Adams,NE,Active,101.0,101.0,292900,CA/latest 69.81; corn 69.81; fiber 30.47,Possible future pipeline optionality,False,"fiber/D3, White Fox, waste heat, corn oil",Omaha / Council Bluffs,62.2,near major urban/industrial market,"101.0 MGY implies roughly 292,900 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 14.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, White Fox, waste heat, corn oil. Nearest listed market is Omaha / Council Bluffs at about 62 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.0,8,12,10.0,20,9,3578,Carbon Green Bioenergy LLC,Carbon Green Bioenergy,Lake Odessa,MI,Active,59.0,59.0,171100,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Detroit / Toledo,107.5,reasonable regional market access,"59.0 MGY implies roughly 171,100 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Detroit / Toledo at about 108 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.0,8,12,10.0,20,9,3551,Alto Columbia LLC,Alto,Boardman,OR,Active,40.0,40.0,116000,WA min 67.49,Possible future pipeline optionality,False,limited public low-carbon tech flags,Portland,147.8,reasonable regional market access,"40.0 MGY implies roughly 116,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Portland at about 148 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,59.0,8,12,10.0,20,9,3703,Seaboard,Seaboard,Madera,CA,Active,40.0,40.0,116000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,San Francisco Bay Area,146.6,reasonable regional market access,"40.0 MGY implies roughly 116,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is San Francisco Bay Area at about 147 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,58.5,12,12,13.5,9,12,3567,Badger State Ethanol LLC,Badger State Ethanol,Monroe,WI,Active,97.0,97.0,281300,CA/latest 69.20; corn 69.20; fiber 27.22,Possible future pipeline optionality,False,"fiber/D3, high protein, corn oil",Quad Cities,86.9,near major urban/industrial market,"97.0 MGY implies roughly 281,300 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 13.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, high protein, corn oil. Nearest listed market is Quad Cities at about 87 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,57.7,12,12,9.7,9,15,3661,Poet Biorefining-Alexandria LLC,POET Biorefining,Alexandria,IN,Active,90.0,90.0,261000,CA/latest 66.96; corn 66.96; fiber 26.95,Possible future pipeline optionality,False,"fiber/D3, CHP",Indianapolis,45.2,very near major urban/industrial market,"90.0 MGY implies roughly 261,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 9.7/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Indianapolis at about 45 miles (very near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,57.5,12,12,12.5,9,12,3682,Poet Biorefining--Lake Crystal LLC,POET Biorefining,Lake Crystal,MN,Active,68.0,68.0,197200,CA/latest 68.51; corn 68.51; fiber 28.01,Possible future pipeline optionality,False,"fiber/D3, CHP",Minneapolis / St. Paul,76.8,near major urban/industrial market,"68.0 MGY implies roughly 197,200 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 12.5/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Minneapolis / St. Paul at about 77 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,57.3,8,25,5.3,13,6,3717,Trenton Agri Products LLC,Trenton Agri Products,Trenton,NE,Active,55.0,55.0,159500,CA/latest 65.05; corn 65.05; fiber 26.52; WA min 26.68,No clear public pipeline/CCS access in available data,False,fiber/D3,Denver,214.7,moderate market access,"55.0 MGY implies roughly 159,500 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 5.3/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Denver at about 215 miles (moderate market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,57.1,12,12,12.1,9,12,3666,Poet Biorefinning-Caro,POET Biorefining,Caro,MI,Active,80.0,80.0,232000,CA/latest 67.98; corn 67.98; fiber 28.59,Possible future pipeline optionality,False,"fiber/D3, CHP",Detroit / Toledo,81.0,near major urban/industrial market,"80.0 MGY implies roughly 232,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 12.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Detroit / Toledo at about 81 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,57.0,12,12,10.0,17,6,3552,Alto Magic Valley Ethanol,Alto,Burley,ID,Active,60.0,60.0,174000,,Possible future pipeline optionality,False,high protein,Salt Lake City,157.1,moderate market access,"60.0 MGY implies roughly 174,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: high protein. Nearest listed market is Salt Lake City at about 157 miles (moderate market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,56.8,8,25,1.8,13,9,3613,Sandhills Renewable Energy LLC,Husker Ag,Atkinson,NE,Active,52.5,52.5,152250,CA/latest 63.61; corn 63.61; fiber 26.66,No clear public pipeline/CCS access in available data,False,fiber/D3,Sioux City,130.1,reasonable regional market access,"52.5 MGY implies roughly 152,250 metric tons/year of fermentation CO2. No clear public pipeline/CCS access in available data CI position score 1.8/20 based on available corn/latest CI percentile. Technology screen: fiber/D3. Nearest listed market is Sioux City at about 130 miles (reasonable regional market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,56.2,12,12,15.2,5,12,3714,The Andersons Marathon Holdings LLC,The Andersons,Denison,IA,Active,62.0,62.0,179800,CA/latest 70.33; corn 70.33; WA min 67.43,Possible future pipeline optionality,False,"fiber/D3, White Fox, waste heat, corn oil",Omaha / Council Bluffs,58.2,near major urban/industrial market,"62.0 MGY implies roughly 179,800 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 15.2/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, White Fox, waste heat, corn oil. Nearest listed market is Omaha / Council Bluffs at about 58 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,56.1,12,12,11.1,9,12,3683,Poet Biorefining-Leipsic LLC,POET Biorefining,Leipsic,OH,Active,90.0,90.0,261000,CA/latest 67.48; corn 67.48; fiber 28.07,Possible future pipeline optionality,False,"fiber/D3, CHP",Detroit / Toledo,96.4,near major urban/industrial market,"90.0 MGY implies roughly 261,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position score 11.1/20 based on available corn/latest CI percentile. Technology screen: fiber/D3, CHP. Nearest listed market is Detroit / Toledo at about 96 miles (near major urban/industrial market).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
Medium,56.0,8,12,10.0,20,6,3556,Amber Wave,Summit Sustainable Ingredients,Phillipsburg,KS,Active,50.0,50.0,145000,,Possible future pipeline optionality,False,limited public low-carbon tech flags,Kansas City,180.1,moderate market access,"50.0 MGY implies roughly 145,000 metric tons/year of fermentation CO2. Possible future pipeline optionality CI position is unclear in available LCFS data. Technology screen: limited public low-carbon tech flags. Nearest listed market is Kansas City at about 180 miles (moderate market access).","Some Decycle strategic need, but one or more factors are weaker: smaller CO2 volume, partial technology adoption, less market access, or possible pipeline optionality."
